,Churn,gender,SeniorCitizen,Partner,Dependents,tenure,Contract,PaperlessBilling,PaymentMethod,Charges.Monthly,Charges.Total,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies
1909,Yes,Male,0,No,No,11,Month-to-month,Yes,Electronic check,73.85,926.25,Yes,No,Fiber optic,No,No,No,Yes,No,No
1910,No,Male,0,Yes,No,68,Two year,No,Credit card (automatic),25.05,1629.2,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
1911,No,Male,0,No,No,34,Month-to-month,Yes,Electronic check,105.35,3540.65,Yes,Yes,Fiber optic,No,Yes,No,Yes,Yes,Yes
1912,No,Male,0,No,No,1,Month-to-month,No,Credit card (automatic),20.75,20.75,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
1913,No,Male,0,Yes,Yes,36,One year,No,Mailed check,53.65,1939.35,Yes,No,DSL,Yes,Yes,No,No,No,No
1914,No,Female,0,Yes,No,15,Two year,No,Mailed check,25.2,387.9,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
1915,No,Male,0,No,No,10,Month-to-month,Yes,Mailed check,51.65,524.5,Yes,No,DSL,Yes,No,No,No,No,No
1916,No,Female,0,No,No,3,Two year,No,Mailed check,71.1,213.35,Yes,No,DSL,Yes,Yes,No,Yes,No,Yes
1917,No,Female,0,No,No,1,Month-to-month,Yes,Electronic check,25.7,25.7,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
1918,No,Male,0,Yes,No,43,Month-to-month,Yes,Credit card (automatic),86.1,3551.65,Yes,No,Fiber optic,Yes,Yes,Yes,No,No,No
1919,No,Female,0,No,Yes,8,Month-to-month,No,Mailed check,20.05,163.6,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
1920,Yes,Female,1,Yes,Yes,4,Month-to-month,No,Electronic check,46.0,181.6,Yes,No,DSL,No,No,No,No,No,No
1921,No,Male,0,Yes,Yes,71,Two year,Yes,Bank transfer (automatic),19.6,1387.45,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
1922,Yes,Male,0,No,No,17,Month-to-month,No,Electronic check,93.85,1625.65,Yes,No,Fiber optic,Yes,No,No,No,Yes,Yes
1923,No,Female,0,Yes,Yes,6,Month-to-month,Yes,Credit card (automatic),48.95,273.25,Yes,Yes,DSL,No,No,No,No,No,No
1924,Yes,Male,1,No,No,2,Month-to-month,Yes,Electronic check,94.0,181.7,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes
1925,Yes,Female,1,Yes,No,1,Month-to-month,Yes,Electronic check,49.55,49.55,Yes,No,DSL,Yes,No,No,No,No,No
1926,Yes,Male,0,No,No,64,One year,Yes,Credit card (automatic),105.65,6903.1,Yes,Yes,Fiber optic,No,Yes,No,Yes,Yes,Yes
1927,No,Male,0,No,Yes,39,One year,No,Bank transfer (automatic),54.85,2191.7,No,No phone service,DSL,No,No,Yes,Yes,Yes,Yes
1928,No,Male,0,Yes,Yes,46,One year,No,Mailed check,56.9,2560.1,Yes,No,DSL,Yes,No,Yes,Yes,No,No
1929,Yes,Male,0,Yes,No,1,Month-to-month,Yes,Electronic check,90.75,90.75,Yes,No,Fiber optic,No,No,No,No,Yes,Yes
1930,No,Female,0,Yes,Yes,72,Two year,Yes,Bank transfer (automatic),84.2,5986.55,Yes,Yes,DSL,Yes,No,Yes,Yes,Yes,Yes
1931,No,Female,0,Yes,Yes,33,Two year,No,Credit card (automatic),19.8,641.35,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
1932,No,Female,0,No,No,32,One year,Yes,Bank transfer (automatic),109.55,3608,Yes,Yes,Fiber optic,Yes,No,Yes,Yes,Yes,Yes
1933,No,Female,0,No,No,5,Month-to-month,Yes,Mailed check,20.5,104.3,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
1934,Yes,Female,0,No,No,2,Month-to-month,Yes,Electronic check,45.25,85.5,No,No phone service,DSL,No,No,No,No,Yes,Yes
1935,Yes,Female,0,No,No,2,Month-to-month,No,Electronic check,80.55,184.1,Yes,No,Fiber optic,No,No,No,No,No,Yes
1936,No,Female,1,No,No,17,Month-to-month,Yes,Credit card (automatic),82.65,1470.05,Yes,Yes,Fiber optic,No,No,Yes,No,No,No
1937,No,Male,0,No,Yes,5,Month-to-month,No,Credit card (automatic),20.35,122,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
1938,No,Male,0,No,No,10,Month-to-month,Yes,Electronic check,24.0,226.55,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
1939,No,Male,0,No,No,1,Month-to-month,Yes,Electronic check,50.15,50.15,Yes,Yes,DSL,No,No,No,No,No,No
1940,No,Female,0,No,No,41,One year,Yes,Credit card (automatic),56.3,2364,Yes,Yes,DSL,No,Yes,No,No,No,No
1941,Yes,Female,0,No,No,63,One year,No,Bank transfer (automatic),99.9,6137,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes
1942,No,Male,0,Yes,Yes,22,One year,No,Mailed check,20.15,419.9,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
1943,No,Female,0,No,No,47,One year,Yes,Electronic check,103.7,4730.6,Yes,No,Fiber optic,Yes,No,Yes,Yes,Yes,Yes
1944,No,Male,0,No,No,65,Two year,Yes,Credit card (automatic),74.2,4805.65,Yes,Yes,DSL,No,Yes,Yes,Yes,No,Yes
1945,No,Female,1,No,No,8,Month-to-month,Yes,Credit card (automatic),100.15,908.55,Yes,Yes,Fiber optic,No,No,No,Yes,Yes,Yes
1946,Yes,Male,0,No,Yes,10,Month-to-month,No,Electronic check,95.2,930.4,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes
1947,Yes,Female,0,No,No,9,Month-to-month,Yes,Bank transfer (automatic),77.65,714.15,Yes,No,Fiber optic,No,No,No,No,Yes,No
1948,No,Male,0,No,No,35,One year,Yes,Electronic check,89.2,3251.3,Yes,No,Fiber optic,Yes,No,No,Yes,No,Yes
1949,Yes,Male,1,No,No,2,Month-to-month,Yes,Electronic check,74.7,165.4,Yes,No,Fiber optic,No,Yes,No,No,No,No
1950,No,Male,1,Yes,No,8,Month-to-month,Yes,Mailed check,43.35,371.4,No,No phone service,DSL,No,Yes,Yes,No,No,Yes
1951,No,Male,0,Yes,No,24,Month-to-month,No,Electronic check,29.1,688,No,No phone service,DSL,No,No,Yes,No,No,No
1952,No,Female,0,No,No,36,Two year,Yes,Mailed check,53.1,1901.25,No,No phone service,DSL,Yes,Yes,Yes,Yes,No,Yes
1953,No,Male,0,Yes,No,67,Two year,Yes,Bank transfer (automatic),111.3,7567.2,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes
1954,Yes,Female,1,Yes,No,15,Month-to-month,Yes,Electronic check,83.05,1258.3,Yes,Yes,Fiber optic,No,No,Yes,Yes,No,No
1955,No,Male,0,No,Yes,0,Two year,Yes,Bank transfer (automatic),61.9, ,Yes,Yes,DSL,Yes,Yes,No,Yes,No,No
1956,Yes,Female,0,No,No,1,Month-to-month,No,Electronic check,78.05,78.05,Yes,No,Fiber optic,No,No,No,No,Yes,No
1957,Yes,Male,1,Yes,No,24,Month-to-month,No,Bank transfer (automatic),39.1,971.3,No,No phone service,DSL,Yes,No,No,No,No,Yes
1958,No,Male,0,No,No,21,Month-to-month,Yes,Mailed check,36.0,780.15,No,No phone service,DSL,No,Yes,No,Yes,No,No
1959,No,Female,0,No,No,11,Month-to-month,Yes,Mailed check,58.95,601.6,Yes,Yes,DSL,No,No,No,No,No,Yes
1960,No,Female,1,No,No,50,Month-to-month,Yes,Electronic check,104.95,5222.35,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes
1961,No,Male,0,No,No,13,One year,No,Mailed check,19.45,270.2,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
1962,No,Female,0,Yes,Yes,64,Two year,No,Bank transfer (automatic),110.3,6997.3,Yes,Yes,Fiber optic,Yes,Yes,No,Yes,Yes,Yes
1963,No,Male,0,No,No,3,Month-to-month,Yes,Electronic check,80.35,253.8,Yes,No,Fiber optic,No,No,No,No,No,Yes
1964,No,Male,0,No,Yes,71,One year,Yes,Credit card (automatic),85.45,6028.95,Yes,Yes,Fiber optic,Yes,Yes,No,No,No,No
1965,No,Female,0,No,No,9,Month-to-month,No,Bank transfer (automatic),20.15,238.15,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
1966,No,Female,0,No,No,1,Month-to-month,Yes,Mailed check,83.4,83.4,Yes,No,Fiber optic,Yes,Yes,No,Yes,No,No
1967,No,Male,0,No,No,3,Month-to-month,Yes,Electronic check,20.5,76.95,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
1968,Yes,Male,0,Yes,No,53,One year,Yes,Electronic check,60.45,3184.25,No,No phone service,DSL,No,Yes,Yes,Yes,Yes,Yes
1969,No,Female,0,Yes,Yes,46,Two year,Yes,Mailed check,19.95,927.1,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
1970,No,Male,0,Yes,Yes,63,Month-to-month,Yes,Credit card (automatic),80.3,4896.35,Yes,No,Fiber optic,No,Yes,Yes,No,No,No
1971,No,Male,0,Yes,No,71,Two year,Yes,Credit card (automatic),108.55,7616,Yes,Yes,Fiber optic,Yes,No,Yes,Yes,Yes,Yes
1972,No,Female,1,Yes,No,5,Month-to-month,Yes,Electronic check,69.35,341.6,Yes,No,Fiber optic,No,No,No,No,No,No
1973,No,Female,0,Yes,Yes,65,Two year,Yes,Bank transfer (automatic),25.3,1748.55,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
1974,No,Male,0,No,No,42,Month-to-month,Yes,Electronic check,100.3,4222.95,Yes,Yes,Fiber optic,No,No,No,Yes,Yes,Yes
1975,No,Female,0,No,No,3,Month-to-month,Yes,Mailed check,74.75,238.1,Yes,No,Fiber optic,No,No,Yes,No,No,No
1976,No,Male,0,No,No,24,Month-to-month,No,Electronic check,54.95,1348.5,Yes,No,DSL,Yes,No,No,Yes,No,No
1977,No,Male,0,No,Yes,66,Two year,No,Mailed check,20.55,1357.1,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
1978,No,Female,0,No,No,25,Two year,No,Credit card (automatic),19.8,475.2,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
1979,No,Female,0,Yes,Yes,56,One year,Yes,Credit card (automatic),99.75,5608.4,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,No,Yes
1980,No,Male,1,Yes,No,52,One year,Yes,Bank transfer (automatic),105.1,5376.4,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes
1981,No,Female,0,Yes,Yes,23,Two year,No,Mailed check,25.1,611.45,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
1982,No,Female,0,Yes,No,25,One year,Yes,Mailed check,26.8,733.55,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
1983,No,Female,0,No,No,32,Month-to-month,Yes,Electronic check,101.35,3334.9,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes
1984,Yes,Female,0,No,No,16,Month-to-month,Yes,Electronic check,50.15,762.25,Yes,No,DSL,Yes,No,No,No,No,No
1985,No,Female,1,Yes,Yes,23,Month-to-month,Yes,Bank transfer (automatic),88.45,2130.55,Yes,No,Fiber optic,No,Yes,Yes,No,No,Yes
1986,No,Male,0,No,No,26,One year,No,Credit card (automatic),54.55,1362.85,No,No phone service,DSL,Yes,No,No,Yes,Yes,Yes
1987,No,Female,0,Yes,No,49,One year,Yes,Bank transfer (automatic),20.05,923.1,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
1988,No,Male,0,No,Yes,1,Month-to-month,No,Mailed check,20.05,20.05,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
1989,Yes,Male,1,No,No,5,Month-to-month,Yes,Mailed check,70.25,331.9,Yes,No,Fiber optic,No,No,No,No,No,No
1990,No,Female,0,No,No,50,Two year,No,Credit card (automatic),19.4,1023.95,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
1991,Yes,Male,0,No,No,13,Month-to-month,Yes,Credit card (automatic),45.55,597,No,No phone service,DSL,Yes,No,No,Yes,Yes,No
1992,No,Female,0,Yes,Yes,28,One year,No,Mailed check,19.9,543,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
1993,No,Female,0,No,Yes,49,One year,No,Credit card (automatic),19.45,921.3,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
1994,No,Female,0,No,No,18,Month-to-month,Yes,Bank transfer (automatic),95.05,1679.4,Yes,Yes,Fiber optic,No,No,Yes,Yes,No,Yes
1995,No,Female,0,Yes,Yes,72,Two year,Yes,Bank transfer (automatic),71.45,5025.85,Yes,Yes,DSL,Yes,No,Yes,No,Yes,No
1996,No,Female,0,Yes,Yes,37,Month-to-month,Yes,Electronic check,95.25,3314.15,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes
1997,No,Male,1,Yes,No,7,Month-to-month,No,Bank transfer (automatic),29.8,220.45,No,No phone service,DSL,Yes,No,No,No,No,No
1998,No,Male,0,Yes,No,45,Month-to-month,No,Bank transfer (automatic),81.4,3775.85,Yes,Yes,Fiber optic,No,Yes,No,No,No,No
1999,No,Male,0,No,No,19,Month-to-month,Yes,Bank transfer (automatic),45.0,865.85,Yes,No,DSL,No,No,No,No,No,No
2000,No,Male,0,No,No,29,One year,Yes,Mailed check,19.8,572.2,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
2001,No,Male,0,Yes,Yes,61,One year,No,Credit card (automatic),103.9,6449.15,Yes,No,Fiber optic,No,Yes,Yes,Yes,Yes,Yes
2002,No,Male,0,No,No,4,Month-to-month,Yes,Electronic check,45.9,199.75,Yes,No,DSL,No,No,No,No,No,No
2003,No,Female,0,No,No,38,Month-to-month,Yes,Electronic check,103.65,3988.5,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes
2004,No,Female,0,No,No,2,Month-to-month,No,Electronic check,19.9,57.4,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
2005,Yes,Male,0,No,No,1,Month-to-month,No,Mailed check,45.05,45.05,Yes,No,DSL,No,No,No,No,No,No
2006,No,Female,0,No,No,15,One year,No,Mailed check,45.9,693.45,No,No phone service,DSL,Yes,Yes,Yes,Yes,No,No
2007,Yes,Male,0,No,No,71,Two year,Yes,Electronic check,108.05,7532.15,Yes,Yes,Fiber optic,Yes,No,Yes,Yes,Yes,Yes
2008,Yes,Male,0,Yes,No,52,Month-to-month,No,Electronic check,84.1,4348.65,Yes,No,Fiber optic,Yes,No,No,No,Yes,No
2009,Yes,Female,0,No,No,2,Month-to-month,No,Mailed check,20.65,38.7,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
2010,Yes,Male,1,Yes,No,24,Month-to-month,Yes,Electronic check,93.15,2231.05,Yes,No,Fiber optic,No,No,Yes,No,Yes,Yes
2011,No,Male,0,No,No,43,Month-to-month,Yes,Credit card (automatic),75.35,3161.4,Yes,Yes,Fiber optic,No,No,No,No,No,No
2012,Yes,Male,0,No,No,2,Month-to-month,No,Bank transfer (automatic),46.05,80.35,Yes,No,DSL,No,No,No,No,No,No
2013,No,Male,0,No,No,24,Month-to-month,Yes,Mailed check,49.7,1218.25,Yes,No,DSL,No,Yes,No,No,No,No
2014,Yes,Male,1,Yes,No,41,Month-to-month,Yes,Electronic check,99.8,4259.3,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes
2015,Yes,Female,0,Yes,Yes,14,Month-to-month,Yes,Electronic check,87.25,1258.6,Yes,Yes,Fiber optic,No,No,Yes,No,No,Yes
2016,No,Female,0,Yes,No,64,Two year,Yes,Mailed check,68.3,4378.8,Yes,No,DSL,No,Yes,Yes,Yes,No,Yes
2017,No,Male,0,Yes,Yes,72,Two year,No,Credit card (automatic),19.4,1363.25,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
2018,No,Female,0,No,No,27,Month-to-month,Yes,Mailed check,56.15,1439.35,Yes,No,DSL,No,Yes,No,Yes,No,No
2019,No,Male,1,No,No,35,One year,Yes,Electronic check,73.0,2471.25,Yes,No,DSL,No,No,Yes,Yes,Yes,Yes
2020,No,Male,0,No,Yes,1,Month-to-month,Yes,Mailed check,59.55,59.55,Yes,No,DSL,No,No,No,Yes,No,Yes
2021,,Male,0,No,Yes,34,One year,Yes,Electronic check,103.8,3470.8,Yes,Yes,Fiber optic,Yes,Yes,No,No,Yes,Yes
2022,Yes,Female,0,No,No,1,Month-to-month,No,Electronic check,68.65,68.65,Yes,No,Fiber optic,No,No,No,No,No,No
2023,Yes,Male,1,No,No,43,Month-to-month,Yes,Mailed check,89.55,3856.75,Yes,No,Fiber optic,No,No,No,No,Yes,Yes
2024,No,Female,1,Yes,No,53,One year,Yes,Credit card (automatic),95.85,5016.25,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes
2025,Yes,Female,0,No,Yes,17,One year,Yes,Mailed check,55.85,937.5,Yes,Yes,DSL,No,No,Yes,No,No,No
2026,Yes,Female,1,No,No,20,Month-to-month,Yes,Credit card (automatic),85.8,1727.5,Yes,Yes,Fiber optic,No,No,No,No,No,Yes
2027,No,Male,0,No,No,6,One year,No,Mailed check,19.15,124.4,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
2028,No,Male,0,No,Yes,1,Month-to-month,Yes,Electronic check,24.7,24.7,No,No phone service,DSL,No,No,No,No,No,No
2029,No,Female,0,No,No,61,Two year,No,Electronic check,89.65,5308.7,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes
2030,Yes,Female,1,No,No,4,Month-to-month,Yes,Electronic check,89.2,346.2,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,No
2031,No,Female,0,No,No,1,Month-to-month,No,Mailed check,19.55,19.55,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
2032,Yes,Male,0,No,No,1,Month-to-month,No,Electronic check,80.5,80.5,Yes,No,Fiber optic,No,No,No,No,No,Yes
2033,No,Female,0,Yes,Yes,68,One year,Yes,Bank transfer (automatic),83.65,5733.4,Yes,Yes,Fiber optic,No,Yes,No,Yes,No,No
2034,Yes,Male,0,No,No,1,Month-to-month,Yes,Electronic check,79.25,79.25,Yes,No,Fiber optic,No,No,No,No,No,Yes
2035,Yes,Female,0,No,No,2,Month-to-month,No,Mailed check,80.6,155.8,Yes,Yes,Fiber optic,No,No,Yes,No,No,No
2036,Yes,Female,0,No,No,45,Month-to-month,Yes,Credit card (automatic),89.3,4016.85,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,No
2037,Yes,Female,0,Yes,Yes,40,Month-to-month,Yes,Electronic check,84.85,3303.05,Yes,Yes,Fiber optic,No,No,Yes,Yes,No,No
2038,No,Female,0,No,No,34,Month-to-month,Yes,Electronic check,105.1,3634.8,Yes,No,Fiber optic,No,Yes,Yes,Yes,Yes,Yes
2039,No,Female,0,No,No,13,Month-to-month,Yes,Electronic check,85.95,1215.65,Yes,Yes,Fiber optic,No,No,No,No,No,Yes
2040,Yes,Female,0,No,No,1,Month-to-month,Yes,Mailed check,20.25,20.25,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
2041,No,Female,0,Yes,Yes,35,One year,No,Mailed check,40.9,1383.6,No,No phone service,DSL,No,No,No,Yes,Yes,No
2042,No,Male,0,Yes,Yes,35,One year,No,Electronic check,19.9,666,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
2043,No,Male,1,Yes,No,72,Two year,Yes,Credit card (automatic),102.65,7550.3,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,No,Yes
2044,No,Male,1,Yes,No,2,Month-to-month,Yes,Electronic check,74.2,140.1,Yes,No,Fiber optic,No,No,Yes,No,No,No
2045,No,Female,0,No,No,12,Month-to-month,No,Bank transfer (automatic),19.45,227.45,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
2046,No,Male,0,Yes,Yes,69,Two year,Yes,Bank transfer (automatic),75.75,5388.15,Yes,No,DSL,Yes,Yes,Yes,Yes,Yes,No
2047,No,Male,1,No,No,57,Month-to-month,Yes,Bank transfer (automatic),104.9,5913.95,Yes,Yes,Fiber optic,No,Yes,No,Yes,Yes,Yes
2048,Yes,Female,0,Yes,No,35,Month-to-month,Yes,Electronic check,70.3,2416.55,Yes,No,Fiber optic,No,No,No,No,No,No
2049,No,Male,0,Yes,Yes,69,Two year,No,Bank transfer (automatic),86.9,6194.1,Yes,Yes,DSL,Yes,No,Yes,Yes,Yes,Yes
2050,Yes,Female,0,Yes,No,63,One year,Yes,Electronic check,107.5,6873.75,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes
2051,No,Female,0,No,Yes,41,Month-to-month,No,Bank transfer (automatic),45.2,1841.9,Yes,No,DSL,No,No,No,No,No,No
2052,No,Female,0,Yes,Yes,47,Two year,Yes,Bank transfer (automatic),21.3,1041.8,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
2053,Yes,Male,0,Yes,No,72,One year,Yes,Bank transfer (automatic),117.8,8684.8,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes
2054,No,Female,0,No,No,59,One year,No,Credit card (automatic),79.85,4786.1,Yes,Yes,DSL,Yes,Yes,Yes,Yes,No,Yes
2055,No,Female,0,Yes,Yes,18,Two year,No,Mailed check,19.35,309.25,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
2056,Yes,Female,0,Yes,No,25,Month-to-month,Yes,Bank transfer (automatic),34.0,853,No,No phone service,DSL,No,No,No,No,Yes,No
2057,No,Male,0,Yes,No,40,One year,No,Electronic check,80.8,3132.75,Yes,No,Fiber optic,No,Yes,Yes,No,No,No
2058,No,Male,0,No,No,2,Month-to-month,Yes,Electronic check,69.8,146.65,Yes,No,Fiber optic,No,No,No,No,No,No
2059,Yes,Female,0,Yes,Yes,21,One year,Yes,Electronic check,55.95,1157.05,No,No phone service,DSL,Yes,No,Yes,No,Yes,Yes
2060,No,Male,0,Yes,Yes,68,One year,Yes,Credit card (automatic),101.05,6770.5,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes
2061,No,Female,1,Yes,No,70,Two year,Yes,Credit card (automatic),19.55,1462.05,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
2062,No,Male,0,Yes,Yes,1,Month-to-month,No,Electronic check,44.55,44.55,Yes,No,DSL,No,No,No,No,No,No
2063,No,Female,0,Yes,No,72,Two year,Yes,Bank transfer (automatic),84.05,6052.25,Yes,Yes,Fiber optic,Yes,Yes,No,No,No,No
2064,No,Female,0,Yes,No,2,Month-to-month,Yes,Credit card (automatic),70.4,154.8,Yes,No,Fiber optic,No,No,No,No,No,No
2065,No,Female,0,Yes,Yes,11,One year,No,Mailed check,20.6,233.9,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
2066,No,Female,0,Yes,Yes,56,Two year,Yes,Credit card (automatic),24.95,1468.9,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
2067,No,Female,0,No,No,36,Month-to-month,Yes,Bank transfer (automatic),34.85,1267.2,No,No phone service,DSL,No,Yes,No,Yes,No,No
2068,No,Male,0,No,No,37,One year,Yes,Bank transfer (automatic),90.6,3358.65,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes
2069,Yes,Female,0,Yes,No,39,Month-to-month,No,Electronic check,55.9,2184.35,No,No phone service,DSL,Yes,No,Yes,No,Yes,Yes
2070,No,Male,0,No,Yes,18,Month-to-month,Yes,Credit card (automatic),80.55,1406.65,Yes,Yes,Fiber optic,No,No,Yes,No,No,No
2071,No,Male,0,No,No,19,Month-to-month,Yes,Electronic check,84.75,1651.95,Yes,Yes,Fiber optic,Yes,No,Yes,No,No,No
2072,Yes,Female,0,No,No,4,Month-to-month,Yes,Bank transfer (automatic),76.65,333.6,Yes,No,Fiber optic,No,Yes,No,No,No,No
2073,No,Male,0,Yes,Yes,1,Month-to-month,Yes,Credit card (automatic),69.95,69.95,Yes,No,Fiber optic,No,No,No,No,No,No
2074,No,Female,1,Yes,No,38,Month-to-month,Yes,Electronic check,83.45,3147.15,Yes,No,Fiber optic,Yes,No,No,No,No,Yes
2075,No,Male,0,Yes,Yes,0,One year,Yes,Mailed check,19.7, ,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
2076,No,Male,0,Yes,No,56,One year,Yes,Electronic check,100.55,5514.95,Yes,Yes,Fiber optic,Yes,No,No,No,Yes,Yes
2077,No,Female,0,No,No,30,One year,Yes,Credit card (automatic),68.95,2038.7,Yes,Yes,DSL,No,Yes,Yes,No,Yes,No
2078,No,Male,0,Yes,Yes,72,Two year,No,Credit card (automatic),88.7,6501.35,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes
2079,No,Female,0,No,No,8,One year,Yes,Bank transfer (automatic),20.2,140.95,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
2080,No,Female,0,Yes,Yes,53,Two year,Yes,Bank transfer (automatic),104.05,5566.4,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,No,Yes
2081,No,Male,0,Yes,No,46,One year,Yes,Electronic check,94.65,4312.5,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,No
2082,No,Female,0,No,No,6,Month-to-month,No,Mailed check,20.7,112.75,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
2083,Yes,Female,0,Yes,Yes,8,Month-to-month,Yes,Electronic check,94.2,777.3,Yes,No,Fiber optic,No,No,Yes,No,Yes,Yes
2084,Yes,Female,0,Yes,No,56,One year,Yes,Electronic check,98.25,5508.35,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes
2085,Yes,Female,0,No,No,31,Month-to-month,No,Credit card (automatic),65.25,1994.3,Yes,Yes,DSL,Yes,No,Yes,Yes,No,No
2086,No,Male,1,No,No,13,Month-to-month,Yes,Electronic check,59.9,788.35,Yes,No,DSL,No,Yes,No,No,Yes,No
2087,No,Male,0,Yes,Yes,40,Month-to-month,Yes,Credit card (automatic),110.1,4469.1,Yes,Yes,Fiber optic,Yes,Yes,No,Yes,Yes,Yes
2088,No,Female,1,Yes,No,59,One year,Yes,Electronic check,94.05,5483.9,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,No,No
2089,No,Female,0,Yes,Yes,50,One year,No,Mailed check,103.05,5153.5,Yes,No,Fiber optic,No,No,Yes,Yes,Yes,Yes
2090,Yes,Female,0,Yes,Yes,2,Month-to-month,Yes,Mailed check,24.4,36.55,No,No phone service,DSL,No,No,No,No,No,No
2091,No,Female,0,No,No,46,Two year,No,Mailed check,79.2,3593.8,Yes,Yes,DSL,Yes,No,Yes,No,Yes,Yes
2092,No,Female,0,No,Yes,18,Month-to-month,No,Electronic check,64.8,1166.7,Yes,Yes,DSL,Yes,No,No,No,No,Yes
2093,No,Female,0,No,No,35,Month-to-month,Yes,Mailed check,33.45,1175.85,No,No phone service,DSL,No,No,Yes,Yes,No,No
2094,Yes,Male,0,No,Yes,1,Month-to-month,No,Mailed check,50.6,50.6,Yes,No,DSL,Yes,No,No,No,No,No
